HHNR,hhtyp,W_OeV_KLASSE,W_BFS,W_X,W_Y,F20601,hhgr,f30100
0,3,7,2,2655148,1173463,9361,0,0
1,1,0,5,2681704,1172311,8174,1,8
2,3,7,0,2622453,1233039,9548,2,0
3,2,3,0,2653274,1178517,1280,3,1
4,2,9,9,2649826,1248990,5411,4,7
5,230,6,6,2619091,1244147,3390,5,8
6,3,9,1,2618538,1152461,947,6,5
7,230,9,4,2675400,1209686,2831,7,5
8,10,9,1,2624692,1222550,7114,8,5
9,230,2,2,2642716,1186803,5328,9,4
10,2,6,7,2669464,1192137,87,10,8
11,1,7,3,2606325,1233790,1235,11,3
12,3,8,8,2630516,1172338,3281,12,7
13,10,1,3,2680910,1204147,7025,13,6
14,3,1,0,2688429,1237162,4906,14,1
15,230,8,6,2638910,1224781,5552,15,1
16,1,2,8,2616030,1216432,3963,16,4
17,2,1,6,2659635,1173580,6081,17,2
18,1,4,7,2665025,1160970,-652,18,8
19,10,2,1,2633931,1237363,2476,19,4
20,2,4,5,2607034,1151717,759,20,9
21,2,6,7,2680513,1173310,5674,21,9
22,230,6,0,2660787,1160777,3825,22,8
23,2,1,2,2655101,1236743,7343,23,7
24,3,4,9,2665438,1234862,8023,24,1
25,2,7,7,2624378,1197295,6520,25,0
26,3,3,9,2693992,1198079,1972,26,9
27,2,4,6,2626013,1216847,4200,27,9
28,1,2,9,2664680,1227581,8322,28,8
29,3,2,1,2618284,1182814,3183,29,8
30,2,4,8,2681123,1243028,1200,30,1
31,2,5,9,2640363,1218803,2874,31,8
32,3,1,7,2631950,1187521,4743,32,4
33,1,0,2,2695425,1239326,1468,33,9
34,10,3,7,2679737,1177723,999,34,4
35,10,3,5,2645041,1229308,-332,35,8
36,10,9,8,2628020,1221854,2028,36,1
37,3,8,4,2697753,1231099,6152,37,4
38,2,0,7,2623459,1152011,-820,38,5
39,2,6,6,2653657,1239923,869,39,2
40,230,0,1,2670493,1218271,1395,40,7
41,230,7,2,2653394,1201525,9934,41,1
42,1,6,0,2665038,1167103,4473,42,1
43,2,7,5,2631886,1161678,4305,43,8
44,230,9,3,2623860,1153339,7384,44,2
45,10,5,2,2605560,1221182,5537,45,3
46,3,4,9,2600950,1219837,-517,46,6
47,2,6,9,2615556,1189858,5480,47,2
48,2,9,2,2617680,1168693,1951,48,6
49,2,7,2,2617769,1178194,4098,49,7
50,2,5,3,2649834,1155241,7776,50,8
51,230,1,0,2657636,1208585,1593,51,5
52,2,3,4,2655121,1201683,5426,52,2
53,230,2,5,2671013,1187368,5112,53,0
54,1,7,5,2603718,1201112,6279,54,6
55,10,2,3,2627384,1223888,1513,55,8
56,2,2,7,2678732,1160391,7212,56,7
57,3,6,5,2628526,1216711,6468,57,6
58,2,3,8,2681321,1161722,5011,58,3
59,230,8,1,2642412,1228138,4449,59,9
60,10,9,2,2659027,1246705,6874,60,5
61,3,8,1,2679587,1238314,-977,61,4
62,3,3,5,2610075,1205698,3217,62,1
63,10,1,5,2647989,1228374,2408,63,0
64,2,3,5,2617768,1206970,2013,64,4
65,1,5,5,2621188,1171521,6518,65,7
66,3,0,4,2607771,1200793,6513,66,2
67,3,0,9,2681935,1224764,8339,67,9
68,1,1,0,2633309,1185385,3331,68,6
69,230,0,6,2682908,1208204,7109,69,2
70,3,1,4,2685084,1213626,3851,70,8
71,10,6,2,2600010,1165491,3738,71,8
72,230,1,7,2618620,1246555,1317,72,6
73,2,5,5,2646400,1247364,2865,73,2
74,10,0,1,2674590,1224524,9938,74,3
75,10,0,0,2620769,1212621,2719,75,2
76,230,6,6,2607353,1167365,2091,76,1
77,10,7,7,2634146,1180507,1961,77,9
78,10,8,9,2621825,1229203,2672,78,0
79,1,2,2,2691812,1224618,2553,79,2
80,2,4,1,2643774,1184779,7852,80,2
81,2,2,7,2609635,1164414,5013,81,9
82,230,5,3,2627069,1249419,3770,82,8
83,10,4,2,2601589,1186370,6365,83,0
84,230,5,5,2672880,1172993,5499,84,0
85,230,3,4,2645654,1210400,7127,85,1
86,1,3,7,2686987,1196142,-757,86,6
87,1,5,5,2630822,1200360,3380,87,8
88,1,4,1,2609070,1200479,3176,88,6
89,230,4,8,2640658,1191746,-371,89,9
90,1,2,5,2673381,1249296,8079,90,2
91,1,3,9,2600600,1248342,6193,91,0
92,3,0,4,2610262,1195896,5792,92,4
93,1,4,1,2633285,1169848,3346,93,6
94,230,1,9,2621169,1155832,836,94,0
95,230,4,5,2663225,1159709,6613,95,9
96,1,1,9,2631498,1209398,9106,96,5
97,2,4,9,2680460,1223592,2967,97,9
98,1,0,8,2634161,1224874,6573,98,4
99,230,7,2,2671740,1217569,5678,99,5
100,230,4,4,2628567,1226638,6975,100,6
101,1,6,6,2688807,1158768,9037,101,5
102,10,5,9,2602146,1209369,1042,102,0
103,3,4,2,2620504,1223239,1777,103,8
104,3,5,9,2656359,1192249,4918,104,1
105,1,1,6,2632023,1171443,1226,105,6
106,2,2,8,2685537,1163872,9134,106,5
107,3,0,8,2677648,1152531,6817,107,6
108,230,0,2,2671320,1248199,7691,108,0
109,10,7,5,2619193,1192993,2804,109,2
110,3,1,2,2661096,1173565,-615,110,2
111,2,0,7,2640697,1220649,1935,111,4
