HHNR,gesl,HAUSB,f81300,A_X,A_Y,alter,f81400,noga_08,sprache,f40800_01,f41100_01,nation,f40900,f40901_02,f40903,WP,A_BFS,f42100e,f41610a,f41610b,f41610c,f41000a,f20400a,f41000b,f41000c,f41001a,f41001b,f41001c
0,2,5,3,2669915,1243400,26,0,64,2,5,1,7,5,6,1,1,6,3,1,2,2,32,0,13,11,11,2,1
1,2,9,1,2672022,1158181,74,20,94,3,5,2,5,3,7,3,8,2,3,2,1,2,2,6,32,13,13,3,1
2,2,6,3,2647082,1173634,26,0,85,2,3,3,8,4,8,5,7,1,1,1,1,1,2,6,3,32,13,3,3
3,1,3,2,2655837,1217567,79,90,5,1,3,3,5,3,5,1,9,8,3,1,2,1,32,1,3,22,2,2,11
4,2,2,2,2674726,1189007,64,91,10,3,5,2,7,6,1,7,3,9,3,2,1,2,13,4,12,11,13,2,12
5,2,3,3,2697300,1167207,57,0,51,3,1,3,8,6,1,4,8,2,1,1,2,1,11,7,2,11,1,22,32
6,1,7,2,2618700,1196281,74,14,13,1,2,2,1,8,5,5,3,3,2,1,2,2,3,9,11,2,2,3,12
7,2,1,3,2639732,1226016,27,0,4,1,2,2,2,0,5,1,6,3,2,2,2,1,11,3,12,3,1,11,12
8,1,13,3,2657134,1221066,83,0,92,4,2,2,1,4,2,9,8,0,1,2,1,2,1,0,22,12,13,22,1
9,1,5,1,2620868,1212154,20,93,98,1,3,1,4,7,4,8,4,1,1,1,1,1,12,1,32,22,12,12,2
10,2,6,1,2623707,1169068,22,31,59,1,2,2,3,5,5,3,1,3,1,1,1,2,13,9,12,2,11,1,1
11,2,15,1,2604839,1249910,47,72,41,2,4,3,5,2,4,5,2,3,1,1,2,1,12,2,11,32,32,11,13
12,1,18,1,2658675,1224966,28,36,14,4,5,1,1,0,6,4,4,5,3,2,2,1,2,8,2,22,32,22,32
13,2,8,3,2681602,1239136,78,0,8,2,2,2,9,3,3,3,9,5,1,2,2,1,13,5,12,22,32,2,32
14,2,19,2,2673105,1228330,20,5,2,1,2,3,6,3,2,7,6,0,3,1,2,2,32,5,12,2,1,32,12
