HHNR,age,dl_car,dl_moto,park_work_car,park_work_moto,park_work_bike,work_home,work_home_perc,height,weight,rdist_sum,rdist_sum_Inland,n_stops,n_trips,travel_times,dist_softmodes,dist_car,dist_pt,dist_other,n_work_trips,n_edu_trips,n_shopping_trips,n_business_trips,n_leisure_trips,n_service_trips,job_x_CH1903,job_y_CH1903,hh_x_ch1903,hh_y_ch1903,hh_size,n_cars_hh,n_moto_hh,n_s_moto_hh,n_mopeds_hh,n_bike_hh,n_ebike_s_hh,n_ebike_f_hh,job_abroad,job_location_city,job_location_popsize_500000_plus,job_location_popsize_200000_500000,job_location_popsize_100000_200000,job_location_popsize_50000_100000,job_location_popsize_50000_minus,job_location_popsize_no_agglo,is_bike_avail,is_small_moped_avail,is_moped_avail,is_moto_avail,is_car_avail,work_sched_fully_fixed,work_sched_fixed_daily_blocks,work_sched_fixed_weekly_monthly,work_sched_fully_flex,ptsub_regional,ptsub_parcours,ptsub_other,ptsub_ht,ptsub_track_sev,ptsub_ga_first,ptsub_ga_second,can_walk_alone,single,married,widowed,divorced,registered_partnership,dissolved_partnership,male,self_employed_with_employees,self_employed_without_employees,employed_by_family,employee_management,employee_with_supervision,employee_without_supervision,compulsory_education,secondary_education,tertiary_education,full_time,part_time,swiss,hh_location_city,hh_location_popsize_500000_plus,hh_location_popsize_200000_500000,hh_location_popsize_100000_200000,hh_location_popsize_50000_100000,hh_location_popsize_50000_minus,hh_location_popsize_no_agglo,pt_access_A,pt_access_B,pt_access_C,pt_access_D,single_household,couple_without_children,couple_with_children,single_parent,non_family_household,hh_income_2000_minus,hh_income_2000_4000,hh_income_4000_6000,hh_income_6000_8000,hh_income_8000_10000,hh_income_10000_12000,hh_income_12000_14000,hh_income_14000_16000,hh_income_16000_plus,work_home_crow_dist,can_work_from_home
100095,60,1,0,1,0,0,3,-99,172,80,14.947,14.947,3,3,55,0.0,14.947,0.0,0.0,1,0,0,2,0,0,765982,256376,765052,258025,2,3,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.8931722055851126,0
100107,32,0,0,0,0,0,3,-99,171,63,41.4590885880048,41.4590885880048,12,4,126,2.60508858800476,18.236,20.618,0.0,0,2,2,0,0,0,600224,199453,546884,183333,2,1,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,55.722616593264895,0
100127,31,1,0,1,0,0,3,-99,183,72,21.998,21.998,6,3,65,1.8,0.0,20.198,0.0,2,0,0,0,0,0,786152,193756,781571,185389,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,9.538985795146148,0
100186,24,1,1,0,0,0,3,-99,174,70,284.696,284.696,11,3,270,3.3,0.0,281.396,0.0,0,3,0,0,0,0,745944,255214,747221,255638,4,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1.3455500733900614,0
100327,54,1,0,1,0,0,3,-99,161,72,31.0,31.0,4,4,56,0.0,31.0,0.0,0.0,0,0,2,0,2,0,572174,106045,571507,102474,2,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3.632757905503751,0
100343,60,1,0,1,0,0,1,80,180,74,5.394,5.394,2,2,30,0.0,5.394,0.0,0.0,0,0,2,0,0,0,560681,204560,560681,204560,4,1,0,0,0,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.0,1
100522,44,1,0,1,0,0,1,15,158,62,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,657562,259604,660068,259286,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2.526095801825418,1
100568,38,1,0,0,0,0,1,0,183,84,135.134226968374,135.134226968374,14,6,242,2.64422696837362,0.0,132.49,0.0,0,2,2,0,2,0,586022,220450,572576,251695,1,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,34.01536330836406,1
100615,26,1,0,1,0,0,3,-99,180,75,136.653,136.653,2,2,115,0.0,136.653,0.0,0.0,0,0,0,0,2,0,689478,252818,705711,240539,3,3,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,20.35397086565666,0
100673,46,1,0,1,0,0,3,-99,175,75,8.693999999999999,8.693999999999999,4,4,70,0.2,8.494,0.0,0.0,2,0,0,0,2,0,495123,119572,497210,118594,3,2,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2.3047891443687427,0
100745,40,1,0,0,0,0,3,-99,178,80,29.2,29.2,11,5,122,1.85,0.0,27.35,0.0,2,0,0,0,3,0,610357,267394,606505,259454,4,1,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,8.825049801559196,0
100808,54,1,0,1,0,0,3,-99,180,72,4.824,4.824,3,3,21,0.0,4.824,0.0,0.0,2,0,0,0,1,0,692358,208870,691262,209053,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1.1111728038428588,0
100866,46,1,0,1,0,0,3,-99,166,72,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,604515,207716,590341,214308,2,1,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,15.631914150224853,0
100935,59,1,0,1,0,0,1,-99,155,61,9.69786308520789,9.69786308520789,7,7,55,1.46086308520789,8.237,0.0,0.0,0,0,5,2,0,0,608912,262144,608264,259410,4,2,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2.809743760558959,1
100968,21,1,0,1,0,0,3,-99,162,46,45.018,45.018,4,4,75,0.6,44.418,0.0,0.0,2,0,2,0,0,0,695430,260542,691479,278635,5,3,1,1,0,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,18.51936958970256,0
101006,37,1,0,1,0,0,2,0,163,52,121.112,121.112,2,2,105,2.5,118.612,0.0,0.0,0,0,0,0,2,0,665396,258075,663003,251966,4,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6.560970202645338,1
101012,43,1,1,1,0,0,3,-99,152,52,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,531326,175023,555147,145776,4,1,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,37.72037977009246,0
101032,78,1,1,1,0,0,2,50,170,74,64.8558481807646,64.8558481807646,12,7,272,3.75584818076455,35.905,25.195,0.0,0,0,0,2,4,1,770510,183008,770753,183129,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.27145902084845147,1
101207,42,1,1,1,0,0,3,-99,183,86,4.4,4.4,3,3,115,2.4,0.0,0.0,2.0,2,0,0,0,1,0,596779,227064,595875,227604,4,1,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1.0530033238314114,0
101398,35,1,0,1,0,0,3,-99,175,75,38.736,38.736,3,3,78,0.0,38.736,0.0,0.0,0,2,1,0,0,0,645307,249655,645307,249656,2,1,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.001,0
101442,40,1,1,0,0,0,1,3,172,85,13.618,13.618,6,4,47,0.15,13.468,0.0,0.0,2,0,0,1,0,0,723632,77023,724439,78506,4,2,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1.6883536359424232,1
