HHNR,age,dl_car,dl_moto,park_work_car,park_work_moto,park_work_bike,work_home_perc,height,weight,rdist_sum,rdist_sum_Inland,n_stops,n_trips,travel_times,dist_softmodes,dist_car,dist_pt,dist_other,n_work_trips,n_edu_trips,n_shopping_trips,n_business_trips,n_leisure_trips,n_service_trips,job_x_CH1903,job_y_CH1903,hh_x_ch1903,hh_y_ch1903,hh_size,n_cars_hh,n_moto_hh,n_s_moto_hh,n_mopeds_hh,n_bike_hh,n_ebike_s_hh,n_ebike_f_hh,job_location_city,job_location_popsize_500000_plus,job_location_popsize_200000_500000,job_location_popsize_100000_200000,job_location_popsize_50000_100000,job_location_popsize_50000_minus,job_location_popsize_no_agglo,is_bike_avail,is_small_moped_avail,is_moped_avail,is_moto_avail,is_car_avail,work_sched_fully_fixed,work_sched_fixed_daily_blocks,work_sched_fixed_weekly_monthly,work_sched_fully_flex,ptsub_regional,ptsub_parcours,ptsub_other,ptsub_ht,ptsub_track_sev,ptsub_ga_first,ptsub_ga_second,can_walk_alone,single,married,widowed,divorced,registered_partnership,male,self_employed_with_employees,self_employed_without_employees,employed_by_family,employee_management,employee_with_supervision,employee_without_supervision,compulsory_education,secondary_education,tertiary_education,full_time,part_time,swiss,hh_location_city,hh_location_popsize_500000_plus,hh_location_popsize_200000_500000,hh_location_popsize_100000_200000,hh_location_popsize_50000_100000,hh_location_popsize_50000_minus,hh_location_popsize_no_agglo,pt_access_A,pt_access_B,pt_access_C,pt_access_D,single_household,couple_without_children,couple_with_children,single_parent,non_family_household,hh_income_2000_minus,hh_income_2000_4000,hh_income_4000_6000,hh_income_6000_8000,hh_income_8000_10000,hh_income_10000_12000,hh_income_12000_14000,hh_income_14000_16000,hh_income_16000_plus,work_home_crow_dist,car_net_distance,accsib_car,accsib_pt,accsib_mul,work_home_days
196515,35,1,0,1,0,0,100,170,61,3.5,3.5,2,2,75,3.5,0.0,0.0,0.0,0,0,0,0,2,0,612543,259269,612543,259269,3,2,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.565,331958.8,282476.63,460674.49,5
151074,58,1,1,0,0,0,30,180,74,27.4071939127552,27.4071939127552,6,4,90,0.5441939127551639,26.863000000000003,0.0,0.0,0,0,0,0,2,2,608597,228107,607854,229137,3,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1.270019291192067,6.219,254673.9,277545.78,414408.45,2
127544,32,0,0,0,0,0,10,175,80,133.468,133.468,11,4,325,8.7,0.0,116.768,8.0,0,0,0,0,4,0,683439,251450,665643,212760,3,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,42.58654383722633,53.092,815954.21,1118134.11,1468144.26,1
333917,19,1,1,1,0,0,100,175,80,7.167999999999999,7.167999999999999,2,2,10,0.0,7.167999999999999,0.0,0.0,0,0,0,2,0,0,557505,167127,557505,167127,5,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,1.186,74828.5,42480.46,107754.01,5
105528,58,1,1,1,0,0,25,168,62,3.285,3.285,5,5,46,2.625,0.66,0.0,0.0,2,0,2,0,1,0,607866,126935,607407,126233,4,1,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.8387401266184896,3.447,105232.37,150648.67,201068.6,2
363768,50,1,1,1,0,0,20,180,85,2.1517232,2.1517232,5,5,12,2.1517232,0.0,0.0,0.0,3,0,1,0,1,0,583003,105161,583797,104845,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.8545712375220688,3.476,36873.82,21341.76,40494.44,1
420599,40,1,1,1,0,0,2,163,65,39.4096741,39.4096741,9,5,109,1.1956741000000002,30.588,7.626,0.0,4,0,0,1,0,0,682251,201232,678939,201915,4,1,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3.3816908492646105,7.393,52759.53,19270.49,68697.51,1
195840,46,1,0,1,0,0,80,177,76,13.218,13.218,4,2,44,0.2,13.018,0.0,0.0,0,0,0,2,0,0,543558,166592,543558,166592,3,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.0,0.623,98961.58,15588.51,110603.05,4
350340,58,1,1,1,0,0,5,189,99,126.874,126.874,10,8,157,0.0,126.874,0.0,0.0,0,0,5,0,3,0,671044,217354,599233,227908,2,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,72.58241272512232,83.751,230585.29,293748.77,451933.56,1
249492,39,1,0,0,0,0,10,170,59,47.3255552,47.3255552,7,7,74,2.1795552,45.146,0.0,0.0,3,0,1,0,3,0,577954,183111,569883,168991,4,2,0,0,0,5,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,16.263930674962925,24.89,385372.16,499734.44,599581.78,1
